tda,market,lag,p_TDA_causes_Market,p_Market_causes_TDA,TDA_causes_Market,Market_causes_TDA
vol_dtw_betti0,fng_value,21,0.0015322101812543978,0.0001719895570766429,True,True
vol_dtw_betti0,vol_btc_rogers,1,1.3500396968487668e-34,0.7675877713664205,True,False
vol_dtw_betti0,vol_btc_rogers,3,1.3500396968487668e-34,0.6298719391379585,True,False
vol_dtw_betti0,vol_btc_rogers,5,1.3500396968487668e-34,0.45682688535988847,True,False
vol_dtw_betti0,vol_btc_rogers,7,1.3500396968487668e-34,0.3507458323570398,True,False
vol_dtw_betti0,vol_btc_rogers,10,1.3500396968487668e-34,0.03539706542200433,True,True
vol_dtw_betti0,vol_btc_rogers,14,1.3500396968487668e-34,6.721857704690689e-06,True,True
vol_dtw_betti0,vol_btc_rogers,21,1.3500396968487668e-34,1.9093239886772513e-09,True,True
vol_wass_betti0,VIX,1,0.6187415684242088,0.3317095575501121,False,False
vol_wass_betti0,VIX,3,0.6187415684242088,0.3317095575501121,False,False
vol_wass_betti0,VIX,5,0.5081817021485264,0.3317095575501121,False,False
vol_wass_betti0,VIX,7,0.5081817021485264,0.3317095575501121,False,False
vol_wass_betti0,VIX,10,0.011022080458898357,0.26323432368766864,True,False
vol_wass_betti0,VIX,14,0.004662663642176628,0.0003555973194487154,True,True
vol_wass_betti0,VIX,21,1.5796569485301106e-05,0.0003555973194487154,True,True
vol_wass_betti0,BVOL,1,0.0023070053676201383,0.5919713989957874,True,False
vol_wass_betti0,BVOL,3,0.0012304102568007596,0.3846452775381277,True,False
vol_wass_betti0,BVOL,5,0.0004536702103990336,0.3846452775381277,True,False
vol_wass_betti0,BVOL,7,0.00041685763803660686,0.10317386974940093,True,False
vol_wass_betti0,BVOL,10,8.842479057559199e-08,0.10137990491860363,True,False
vol_wass_betti0,BVOL,14,1.551104755426347e-08,3.943923363451647e-06,True,True
vol_wass_betti0,BVOL,21,5.606812835282175e-22,3.116856305337197e-10,True,True
vol_wass_betti0,SP500,1,0.8149725717033578,0.816991511922671,False,False
vol_wass_betti0,SP500,3,0.8149725717033578,0.6289066415123943,False,False
vol_wass_betti0,SP500,5,0.8149725717033578,0.6289066415123943,False,False
vol_wass_betti0,SP500,7,0.8149725717033578,0.6289066415123943,False,False
vol_wass_betti0,SP500,10,0.8149725717033578,0.6289066415123943,False,False
vol_wass_betti0,SP500,14,0.8149725717033578,0.6289066415123943,False,False
vol_wass_betti0,SP500,21,0.6672927093740487,0.6289066415123943,False,False
vol_wass_betti0,fng_value,1,0.7330886996420243,0.006689341400887264,False,True
vol_wass_betti0,fng_value,3,0.18778660474438924,0.006689341400887264,False,True
vol_wass_betti0,fng_value,5,0.007336654624415225,0.006689341400887264,True,True
vol_wass_betti0,fng_value,7,0.0010345939735979005,0.006689341400887264,True,True
vol_wass_betti0,fng_value,10,0.0010345939735979005,0.006689341400887264,True,True
vol_wass_betti0,fng_value,14,0.0010345939735979005,0.006689341400887264,True,True
vol_wass_betti0,fng_value,21,0.0004795156823483927,0.00013204539376882133,True,True
vol_wass_betti0,vol_btc_rogers,1,4.788586331279516e-28,0.9379435480647336,True,False
vol_wass_betti0,vol_btc_rogers,3,4.788586331279516e-28,0.005340556803723777,True,True
vol_wass_betti0,vol_btc_rogers,5,4.788586331279516e-28,0.003138331728143297,True,True
vol_wass_betti0,vol_btc_rogers,7,4.788586331279516e-28,0.0011616669645255241,True,True
vol_wass_betti0,vol_btc_rogers,10,4.788586331279516e-28,4.2818335983026935e-06,True,True
vol_wass_betti0,vol_btc_rogers,14,4.788586331279516e-28,2.542412813507402e-13,True,True
vol_wass_betti0,vol_btc_rogers,21,4.788586331279516e-28,3.014613062107065e-15,True,True
