time_index,date,vol_wass_betti0,vol_wass_betti1,vol_wass_entropy,log_wass_betti0,log_wass_betti1,log_wass_entropy,log_dtw_betti0,log_dtw_betti1,log_dtw_entropy,vol_dtw_betti0,vol_dtw_betti1,vol_dtw_entropy,SP500,VIX,BVOL,CVI,vol_btc_parkinson,vol_btc_rogers,fng_value,fng_classification,event_label,sp_ret,sp_vol7,fear&greed,vol_wass_clustering,vol_wass_degree_centrality,vol_wass_pagerank,log_wass_clustering,log_wass_degree_centrality,log_wass_pagerank,log_dtw_clustering,log_dtw_degree_centrality,log_dtw_pagerank,vol_dtw_clustering,vol_dtw_degree_centrality,vol_dtw_pagerank
1175,2023-11-09,1.22,0.0,0.0,1.48,0.0,0.0,1.74,0.0,0.0,1.2,0.0,0.0,4347.35009765625,15.289999961853,17.03,62.4221,0.0014552404342596,0.0457885067332735,69.0,Greed,0,-0.008083839306732843,0.005146563466416938,69.0,0.9807323868366784,0.9806217708833164,0.1004818133768988,0.9807323868366784,0.9806217708833164,0.1004818133768988,0.6721406895219479,0.673669360325677,0.1063227149396586,0.9691783699722116,0.9693827121465256,0.1007893279970339
1176,2023-11-10,1.22,0.0,0.0,1.48,0.0,0.0,1.78,0.0,0.0,1.2,0.0,0.0,4415.240234,14.1700000762939,17.76,62.6304,0.0003383962690639,0.0185083760788799,70.0,Greed,0,0.015616441008593052,0.007032547120593404,70.0,0.9805678573746957,0.9804697905458488,0.1004876679002921,0.9805678573746957,0.9804697905458488,0.1004876679002921,0.6579362164241565,0.6595228683167969,0.1063724603942986,0.9692479515699628,0.9694533811242244,0.1008988400418484
1177,2023-11-11,1.22,0.0,0.0,1.5,0.02,0.0,1.8,0.0,0.0,1.2,0.0,0.0,4415.240234,14.1700000762939,17.76,62.6304,0.0001051972882231,0.0127095164439682,70.0,Greed,0,0.0,0.007032547120593404,70.0,0.9798142324343868,0.9796867906860938,0.1004972993406209,0.9798142324343868,0.9796867906860938,0.1004972993406209,0.660392183421345,0.6613489036408676,0.1069990713140172,0.9690411220297216,0.9692376472655878,0.1009248506104297
1178,2023-11-12,1.2,0.0,0.0,1.52,0.02,0.0,1.82,0.0,0.681754458923989,1.2,0.0,0.0,4415.240234,14.1700000762939,17.76,62.6304,5.300421928174509e-05,0.0091316090313499,73.0,Greed,0,0.0,0.007032547120593404,73.0,0.979241684343526,0.9791182057723302,0.1004988963191893,0.979241684343526,0.9791182057723302,0.1004988963191893,0.6529883379696801,0.6541770512091125,0.1069388993749862,0.9669868326880536,0.9671649320226244,0.1009592365844447
1179,2023-11-13,1.2,0.0,0.0,1.52,0.0,0.0,1.78,0.0,0.6537881264675509,1.2,0.0,0.0,4411.5498046875,14.7600002288818,17.67,62.7819,0.0002678146013346,0.016466058084579,72.0,Greed,0,-0.0008358388483782342,0.007107751677059056,72.0,0.9798221412897468,0.9797043860171072,0.1004793178970545,0.9798221412897468,0.9797043860171072,0.1004793178970545,0.6537506354074025,0.6555679517829457,0.108001352602537,0.9689881285918368,0.9691321763961736,0.1008831968045919
1180,2023-11-14,1.2,0.0,0.0,1.5,0.0,0.0,1.78,0.0,0.0432508107529898,1.2,0.0,0.0,4495.7001953125,14.1599998474121,17.81,61.9748,0.000914492770634,0.0310258865578948,69.0,Greed,0,0.019075017703661823,0.00976694355903888,69.0,0.979855683972865,0.9797306243740344,0.1004791918150283,0.979855683972865,0.9797306243740344,0.1004791918150283,0.6527545820764594,0.6536442902118036,0.1067526210464658,0.9705637480089424,0.9706898886958476,0.1008012594238452
1181,2023-11-15,1.2,0.0,0.0,1.52,0.0,0.0,1.78,0.0,0.5237866014522836,1.2,0.0,0.0,4502.8798828125,14.1800003051757,18.0,62.7212,0.0017879807343165,0.0214981968553506,60.0,Greed,0,0.0015970120755575135,0.009740977052815921,60.0,0.9801321402687762,0.9800026933094486,0.1004849503604401,0.9801321402687762,0.9800026933094486,0.1004849503604401,0.6508352009887038,0.6522172839527334,0.1075141732824876,0.9704821345607186,0.9706085038137274,0.1008190479573306
1182,2023-11-16,1.2,0.0,0.0,1.46,0.0,0.0,1.78,0.0,0.0,1.2,0.0,0.0,4508.240234,14.3199996948242,18.4,61.8611,0.0015262616808845,0.0339174479137279,70.0,Greed,0,0.0011904273102998353,0.00837236989167475,70.0,0.9806058469502732,0.9804617704314708,0.1004860795227959,0.9806058469502732,0.9804617704314708,0.1004860795227959,0.6609687177694145,0.6617180043651539,0.1062922964576309,0.9710800281479828,0.9711970632099431,0.100812816173525
1183,2023-11-17,1.2,0.0,0.0,1.48,0.0,0.0,1.74,0.0,0.0,1.2,0.0,0.0,4514.02001953125,13.8000001907348,19.06,59.8121,0.0001765914968957,0.0135615976813086,63.0,Greed,0,0.0012820491436238424,0.007060092997574743,63.0,0.9808468204552216,0.9806986512913278,0.1004542007048678,0.9808468204552216,0.9806986512913278,0.1004542007048678,0.6619981911317563,0.6630692141111743,0.1077800698623612,0.9711605869680224,0.9712747540088088,0.1007662617817477
1184,2023-11-18,1.2,0.0,0.0,1.48,0.0,0.0,1.72,0.0,0.0,1.2,0.0,0.0,4514.02001953125,13.8000001907348,19.06,59.8121,9.921694716559446e-05,0.0120161416178945,69.0,Greed,0,0.0,0.007060092997574743,69.0,0.9808270394283192,0.9806558134962344,0.1004785089157428,0.9808270394283192,0.9806558134962344,0.1004785089157428,0.6720179414436517,0.6725238749720256,0.1066199469333933,0.9719738272825316,0.9720912538271592,0.1007679789807019
